episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi,top1_pair_frequency,pair_selection_entropy
1,200,55.21241204231521,2.098262095284984,20.005,0.095,0.905,1.0,0.905,0,19,2.6064046633243563,0.205,0.0706,0.205,3.038133824378559
2,200,58.50663256605025,2.1617196460584776,20.77,0.03,0.97,1.0,0.97,0,6,2.702424755692482,0.155,0.05830000000000001,0.155,3.1000426152277036
3,200,61.45525435388332,2.0600709356341556,20.195,0.0,1.0,1.0,1.0,0,0,2.749567560851574,0.105,0.0523,0.11,3.129984511151869
4,200,62.11604213976747,2.0615786833554286,21.635,0.0,1.0,1.0,1.0,0,0,2.9105208304524424,0.075,0.05090000000000001,0.09,3.1240042853382444
5,200,61.24917483906769,2.085426258876221,22.87,0.0,1.0,1.0,1.0,0,0,3.032359756231308,0.05,0.042550000000000004,0.075,3.2341816238963106
6,200,62.30849630698457,2.05322190284666,23.0,0.0,1.0,1.0,1.0,0,0,3.022930387854576,0.055,0.04175,0.07,3.2503504554750173
7,200,61.131173947346504,2.048765552657647,22.585,0.0,1.0,1.0,1.0,0,0,3.0090106654167177,0.035,0.047250000000000014,0.095,3.1665336451438897
8,200,60.105312204647035,2.0707860676387098,23.0,0.0,1.0,1.0,1.0,0,0,3.01351813018322,0.065,0.045100000000000015,0.08,3.2036746136213146
9,200,61.22593954790186,1.993424939115103,19.64,0.035,0.965,1.0,0.965,0,7,2.693329809308052,0.065,0.052750000000000005,0.12,3.1123107730584225
10,200,55.51990132026423,2.167765578106157,20.17,0.09,0.91,1.0,0.91,0,18,2.6611641710996627,0.025,0.06190000000000001,0.18,3.0952125849199805
11,200,53.86349601361375,2.0354639528527905,19.145,0.14,0.86,1.0,0.86,0,28,2.542248064279556,0.21,0.0731,0.21,3.014124853969637
12,200,63.196028431450934,1.9693645609999175,18.63,0.0,1.0,1.0,1.0,0,0,2.617994199693203,0.09,0.06285,0.145,3.0259617059819464
13,200,58.38120546348673,2.174359600234827,20.24,0.055,0.945,1.0,0.945,0,11,2.7209255945682527,0.04,0.06005000000000002,0.155,3.0626647135187546
14,200,56.70099641779665,2.146987465227495,21.27,0.08,0.92,1.0,0.92,0,16,2.774654260575771,0.135,0.05100000000000002,0.135,3.16721863037244
15,200,57.89905572485662,2.0315261250422676,20.785,0.08,0.92,1.0,0.92,0,16,2.7081271904706954,0.055,0.052850000000000015,0.135,3.1392575320652023
16,200,59.78514746492564,2.057080105989239,20.195,0.03,0.97,1.0,0.97,0,6,2.67717552870512,0.155,0.06110000000000001,0.155,3.051381449777286
17,200,61.20860533983854,2.1007054605890167,22.77,0.0,1.0,1.0,1.0,0,0,3.0408287858963012,0.11,0.04920000000000001,0.11,3.1754391874861243
18,200,59.69985628156957,2.1274597220513245,23.775,0.0,1.0,1.0,1.0,0,0,3.126433423757553,0.025,0.042300000000000004,0.075,3.2416547892887038
19,200,62.332707257061664,2.036907090942559,23.2,0.0,1.0,1.0,1.0,0,0,3.0744129526615143,0.04,0.043100000000000006,0.075,3.2314658267434373
20,200,61.73352332587316,2.038559904497346,24.88,0.0,1.0,1.0,1.0,0,0,3.1729348105192186,0.025,0.04175000000000001,0.08,3.2493533889532236
21,200,53.95526095562323,2.1473099900675496,20.85,0.125,0.875,1.0,0.875,0,25,2.6728559559583664,0.05,0.061000000000000026,0.17,3.0866002364075404
22,200,60.99235738231602,2.1063190922890733,23.26,0.0,1.0,1.0,1.0,0,0,3.091754013299942,0.055,0.039900000000000005,0.055,3.270662015517515
23,200,61.48077001386026,2.0694377808625193,22.375,0.0,1.0,1.0,1.0,0,0,3.010885547995567,0.075,0.044250000000000005,0.075,3.2110097215068407
24,200,59.44548427027579,2.130297456185774,23.875,0.0,1.0,1.0,1.0,0,0,3.0788391607999803,0.04,0.04445000000000001,0.075,3.2120505739219167
25,200,61.581676115003596,2.0417051319943025,23.275,0.0,1.0,1.0,1.0,0,0,3.068455240726471,0.07,0.04655000000000001,0.08,3.175102640854153
26,200,51.189136461024084,2.122888446997726,17.925,0.17,0.83,1.0,0.83,0,34,2.361611297130585,0.025,0.10035000000000004,0.275,2.8684573893942207
27,200,62.94685725667501,2.0245031823285755,23.65,0.0,1.0,1.0,1.0,0,0,3.099255078434944,0.07,0.0466,0.085,3.1675298133916767
28,200,63.346329719247734,1.9854835034098883,23.1,0.0,1.0,1.0,1.0,0,0,3.0584624010324477,0.04,0.045700000000000005,0.08,3.193671798491359
29,200,62.1209921461181,2.0366085700805443,21.155,0.0,1.0,1.0,1.0,0,0,2.916223936676979,0.08,0.047050000000000015,0.08,3.177960518801196
30,200,61.70777582466593,2.0370745458592,21.71,0.0,1.0,1.0,1.0,0,0,2.865712939798832,0.08,0.04620000000000001,0.08,3.1877178522502674
31,200,62.377278989397404,2.015995022126732,20.485,0.0,1.0,1.0,1.0,0,0,2.7087918692827224,0.055,0.05575000000000001,0.145,3.108446043545623
32,200,54.58519203796,2.0888921525899,20.5,0.125,0.875,1.0,0.875,0,25,2.62878540456295,0.05,0.06705,0.2,3.0796783414069027
33,200,61.907298437792534,2.0413594003332487,20.685,0.0,1.0,1.0,1.0,0,0,2.883281811475754,0.075,0.050650000000000014,0.1,3.140041371196495
34,200,56.88262369722222,2.143682042952846,18.45,0.08,0.92,1.0,0.92,0,16,2.586469721198082,0.07,0.0656,0.18,3.038256940080164
35,200,51.210660308868555,2.080152114858308,18.365,0.17,0.83,1.0,0.83,0,34,2.4497697693109513,0.03,0.09480000000000001,0.26,2.886194411381054
36,200,60.27148052220393,2.1559268956962523,21.145,0.0,1.0,1.0,1.0,0,0,2.792404014468193,0.12,0.051550000000000006,0.12,3.1329170369820565
37,200,48.98338882941135,2.0781118016636277,16.95,0.195,0.805,1.0,0.805,0,39,2.34692503541708,0.055,0.08739999999999999,0.24,2.8837563106160093
38,200,56.57329413854015,2.0457614907469575,20.855,0.095,0.905,1.0,0.905,0,19,2.7166994321346283,0.045,0.05370000000000001,0.135,3.133740942620236
39,200,60.41930995586978,2.1153998264292637,23.185,0.0,1.0,1.0,1.0,0,0,3.0512247693538668,0.06,0.0453,0.065,3.178614172834526
40,200,56.921782229239874,2.07973598574104,19.355,0.09,0.91,1.0,0.91,0,18,2.5793500620126726,0.19,0.06640000000000001,0.19,3.057854970520409
41,200,61.59137932044893,2.072790108743506,23.53,0.0,1.0,1.0,1.0,0,0,3.0945432484149933,0.065,0.04420000000000001,0.07,3.212444578264976
42,200,55.5110494269743,2.042872038698062,18.655,0.125,0.875,1.0,0.875,0,25,2.485251138806343,0.04,0.0858,0.24,2.9492309146357853
43,200,62.42403732067739,2.0102507891401094,20.575,0.005,0.995,1.0,0.995,0,1,2.7478859415650367,0.125,0.05615000000000001,0.125,3.104763186533739
44,200,62.60119192126857,2.00111632912209,22.9,0.005,0.995,1.0,0.995,0,1,2.9406469470262526,0.06,0.04420000000000001,0.095,3.2269283979512386
45,200,62.34559010719713,2.0543323710981594,22.405,0.0,1.0,1.0,1.0,0,0,2.9633768033981323,0.08,0.05010000000000001,0.12,3.172145022283404
46,200,60.92309840727184,2.072503502600865,25.025,0.0,1.0,1.0,1.0,0,0,3.1911712074279786,0.07,0.041699999999999994,0.07,3.2431539503507327
47,200,62.22330530530698,2.0275126406174193,21.275,0.0,1.0,1.0,1.0,0,0,2.76418102145195,0.06,0.0585,0.15,3.0772289580741203
48,200,57.16332623916927,2.012689762327533,18.985,0.1,0.9,1.0,0.9,0,20,2.522403107881546,0.21,0.0746,0.21,3.0057456722005265
49,200,61.63075710056235,2.0760062454441206,24.68,0.0,1.0,1.0,1.0,0,0,3.1644525742530822,0.055,0.04055000000000002,0.055,3.2568551388841542
50,200,54.627716477563034,2.146124408737419,21.685,0.115,0.885,1.0,0.885,0,23,2.758428311944008,0.02,0.05950000000000001,0.165,3.112552087742705
51,200,55.632674821826015,2.181801657377913,19.92,0.08,0.92,1.0,0.92,0,16,2.602420658171177,0.19,0.07135,0.19,2.9841511215319665
