episode,transitions,first_minibatch_ratio_max_abs_error,ratio_min,ratio_max,mean_masked_entropy
1,200,0.0,0.9952237606048584,1.0054651498794556,2.6069088876247406
2,200,0.0,0.9975130558013916,1.003337025642395,2.767963469028473
3,200,0.0,0.9972148537635803,1.0031499862670898,2.7658280730247498
4,200,0.0,0.9981444478034973,1.0023235082626343,2.923797994852066
5,200,0.0,0.9954892992973328,1.0032719373703003,3.0394050776958466
6,200,0.0,0.995635986328125,1.0048456192016602,3.011711359024048
7,200,0.0,0.9981677532196045,1.0018031597137451,2.989859789609909
8,200,0.0,0.9965840578079224,1.002279281616211,2.981409400701523
9,200,0.0,0.9963806867599487,1.0036554336547852,2.7210420966148376
10,200,0.0,0.9979681372642517,1.0015652179718018,2.6888029277324677
11,200,0.0,0.9988760352134705,1.0016125440597534,2.6522703766822815
12,200,0.0,0.9989224672317505,1.0011985301971436,2.631310611963272
13,200,0.0,0.9990148544311523,1.0014280080795288,2.788723409175873
14,200,0.0,0.9979590773582458,1.00125253200531,2.7068534791469574
15,200,0.0,0.9983127117156982,1.0020527839660645,2.6679705679416656
16,200,0.0,0.9983096122741699,1.0018726587295532,2.7194953560829163
17,200,0.0,0.9989636540412903,1.0011078119277954,3.0248912572860718
18,200,0.0,0.9977169036865234,1.0019354820251465,3.161920428276062
19,200,0.0,0.9973872303962708,1.0020694732666016,3.0808533430099487
20,200,0.0,0.9967886805534363,1.0039222240447998,3.1824608743190765
21,200,0.0,0.9970512986183167,1.0024380683898926,2.7184956669807434
22,200,0.0,0.9986402988433838,1.0016989707946777,3.036626785993576
23,200,0.0,0.999321460723877,1.0005897283554077,2.9847735464572906
24,200,0.0,0.9988031387329102,1.001405954360962,3.074655532836914
25,200,0.0,0.9982729554176331,1.0021034479141235,3.0925623774528503
26,200,0.0,0.9991284608840942,1.0014787912368774,2.351947784423828
27,200,0.0,0.999184250831604,1.0006823539733887,3.074750602245331
28,200,0.0,0.9987414479255676,1.0010439157485962,3.0879596173763275
29,200,0.0,0.9948975443840027,1.0032317638397217,2.930549830198288
30,200,0.0,0.9942267537117004,1.0035518407821655,2.849176675081253
31,200,0.0,0.995274543762207,1.0037497282028198,2.7291257679462433
32,200,0.0,0.9979360103607178,1.0026750564575195,2.6949035227298737
33,200,0.0,0.9988345503807068,1.0012718439102173,2.922712743282318
34,200,0.0,0.9987926483154297,1.0016204118728638,2.664374500513077
35,200,0.0,0.9982746243476868,1.001738429069519,2.3857905566692352
36,200,0.0,0.9972414970397949,1.0023162364959717,2.813133716583252
37,200,0.0,0.9974378943443298,1.0027107000350952,2.358093410730362
38,200,0.0,0.9987679123878479,1.0013045072555542,2.8049339950084686
39,200,0.0,0.9981701374053955,1.001539707183838,3.0345559418201447
40,200,0.0,0.9982777237892151,1.0018010139465332,2.6474493741989136
41,200,0.0,0.9989612698554993,1.0011321306228638,3.102957397699356
42,200,0.0,0.9970560669898987,1.003225326538086,2.5432447493076324
43,200,0.0,0.9961690306663513,1.004469871520996,2.757400006055832
44,200,0.0,0.9954186081886292,1.0038083791732788,2.923726260662079
45,200,0.0,0.995047926902771,1.0032539367675781,3.0055095553398132
46,200,0.0,0.9987198114395142,1.0011030435562134,3.1936298608779907
47,200,0.0,0.9983974695205688,1.0010154247283936,2.7971476912498474
48,200,0.0,0.998874843120575,1.0012199878692627,2.5552189350128174
49,200,0.0,0.9964039921760559,1.003987193107605,3.1854342818260193
50,200,0.0,0.9945119619369507,1.005689263343811,2.655573755502701
51,200,0.0,0.9954330325126648,1.0034886598587036,2.667464315891266
52,200,0.0,0.9952169060707092,1.0033292770385742,3.1278721690177917
53,200,0.0,0.9953072667121887,1.0045967102050781,2.4919426143169403
54,200,0.0,0.9962849617004395,1.004328727722168,3.021366387605667
55,200,0.0,0.99611896276474,1.002235770225525,2.9391157031059265
56,200,0.0,0.9969276785850525,1.0017725229263306,2.1464732736349106
57,200,0.0,0.9967995882034302,1.0033888816833496,3.1126666367053986
58,200,0.0,0.9968996644020081,1.003271222114563,2.86652672290802
59,200,0.0,0.9973810911178589,1.002259373664856,2.716554343700409
60,200,0.0,0.9957610964775085,1.001787781715393,2.3898914456367493
61,200,0.0,0.9954857230186462,1.0042411088943481,3.0411162674427032
62,200,0.0,0.9965574741363525,1.0038954019546509,3.036916345357895
63,200,0.0,0.9961099028587341,1.0045924186706543,3.084930270910263
64,200,0.0,0.9933688044548035,1.0067299604415894,3.1198670566082
65,200,0.0,0.9954907298088074,1.0054094791412354,3.17102912068367
66,200,0.0,0.9970484375953674,1.0026602745056152,3.021499425172806
67,200,0.0,0.9979026913642883,1.001656413078308,2.550604909658432
68,200,0.0,0.9956274628639221,1.0030611753463745,2.8077601194381714
69,200,0.0,0.9975175857543945,1.0024001598358154,2.652696818113327
70,200,0.0,0.9978229999542236,1.0028942823410034,2.947755843400955
71,200,0.0,0.9975225925445557,1.002421498298645,3.066808670759201
72,200,0.0,0.9942129850387573,1.0042284727096558,3.106137752532959
73,200,0.0,0.9966998100280762,1.0039589405059814,2.8403740227222443
74,200,0.0,0.9966073632240295,1.003121256828308,2.9565945863723755
75,200,0.0,0.9978053569793701,1.003503441810608,2.9351554214954376
76,200,0.0,0.9959703087806702,1.0055073499679565,2.741632103919983
77,200,0.0,0.9970130324363708,1.0028187036514282,3.104304224252701
78,200,0.0,0.9973580241203308,1.0026099681854248,2.660319745540619
79,200,0.0,0.9964450597763062,1.0054231882095337,2.6737873554229736
80,200,0.0,0.9989262819290161,1.0012249946594238,2.741208851337433
81,200,0.0,0.9978817701339722,1.0023587942123413,3.118746042251587
82,200,0.0,0.9951673150062561,1.0043749809265137,2.5662902891635895
83,200,0.0,0.996517539024353,1.0019088983535767,2.91067036986351
84,200,0.0,0.996671736240387,1.0026891231536865,2.492023855447769
85,200,0.0,0.9971756339073181,1.0015877485275269,2.6619280874729156
86,200,0.0,0.9983112812042236,1.0018693208694458,2.916143834590912
87,200,0.0,0.9962123036384583,1.0050231218338013,3.09892138838768
88,200,0.0,0.9974455237388611,1.00340735912323,2.9264120757579803
89,200,0.0,0.9961156249046326,1.004096269607544,2.6195832192897797
90,200,0.0,0.9980049729347229,1.0030640363693237,3.096768319606781
