episode,actor_norm_before,critic_norm_before
1,0.03566930815577507,528.6173095703125
1,0.04546899348497391,543.2173461914062
1,0.032155703753232956,535.7759399414062
1,0.021254874765872955,492.37835693359375
1,0.04918048903346062,541.6087646484375
1,0.028461748734116554,537.259765625
1,0.059729188680648804,538.84716796875
1,0.17445781826972961,559.0518188476562
2,0.061483196914196014,529.2237548828125
2,0.04809427261352539,545.7003173828125
2,0.0836530551314354,596.398681640625
2,0.06809529662132263,618.13134765625
2,0.06549147516489029,603.9109497070312
2,0.07889968156814575,565.57373046875
2,0.06426150351762772,586.4899291992188
2,0.17121906578540802,545.4493408203125
3,0.02087620459496975,611.891357421875
3,0.040289897471666336,649.4110107421875
3,0.009710114449262619,570.9728393554688
3,0.07438821345567703,716.8491821289062
3,0.03927221894264221,661.77099609375
3,0.0776410922408104,612.0558471679688
3,0.022266652435064316,672.8264770507812
3,0.09812786430120468,775.4910888671875
