episode,credit_mode,outcomes,event_return,interval_return,return_residual,task_reward_sum
1,event_interval,200,388.01530604152225,388.0153060415227,4.547473508864641e-13,12390.140299897728
2,event_interval,200,403.99341119096255,403.99341119096266,1.1368683772161603e-13,12438.811737777785
3,event_interval,200,425.0583820453735,425.058382045374,5.115907697472721e-13,11522.396301925648
