episode,transitions,first_minibatch_ratio_max_abs_error,ratio_min,ratio_max,mean_masked_entropy
1,200,0.0,0.9908905029296875,1.0092049837112427,2.6037853956222534
2,200,0.0,0.9951575398445129,1.0047258138656616,2.9076912999153137
3,200,0.0,0.9963217973709106,1.002920150756836,2.6873649060726166
