episode,tasks,mean_reward,mean_latency,mean_safe_set_size,empty_safe_set_rate,feasibility_rate,conditional_rsr,overall_rsr,avoidable_violation_count,unavoidable_violation_count,mean_masked_entropy,pair_78_frequency,pair_selection_hhi
1,200,61.950701499488645,1.9912383548423216,20.5,0.02,0.98,1.0,0.98,0,4,2.698940775990486,0.125,0.0534
2,200,62.19405868888894,2.0705880866709827,21.54,0.0,1.0,1.0,1.0,0,0,2.9056718230247496,0.115,0.05060000000000002
3,200,57.611981509628215,2.0650771174658145,20.655,0.075,0.925,1.0,0.925,0,15,2.7353064358234405,0.065,0.05370000000000001
